I am 18+ and consent to take part. I understand anomymised data will be published openly,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life? ","On average, how many hours do you spend online each day? (self-estimate)  ",What do you use AI for most often? (Select all that apply),"In general, how confident do you feel using AI tools?  ",AI providing health or wellbeing advice ,AI making recommendations about money or finance ,AI influencing work-related decisions ,AI interacting with children or young people ,AI generating information that might be inaccurate ,AI forming opinions about someone based on personal data ,An AI tool taking small actions independently (e.g. drafting content without asking) ,An AI tool making decisions for you when you haven’t given explicit approval ,An AI tool remembering past conversations and using them to guide new ones ,An AI tool suggesting actions you did not expect or ask for ,I feel uneasy when an AI tool responds inconsistently to the same question. ,Sudden changes in tone or behaviour from AI make me question its reliability. ,"I prefer AI tools that behave predictably, even if they are less powerful. ",AI talking in a highly emotional or personal way ,AI using personal details to tailor responses ,AI giving strong opinions about sensitive topics ,AI becoming overly confident in its answers ,I sometimes overlook potential risks because AI tools make my tasks easier.  ,The convenience of AI is worth accepting some level of uncertainty. ," An AI tool offering guidance during a stressful moment (e.g., conflict, crisis, decision pressure)  ",An AI tool proactively warning you about potential risks in your behaviour ,An AI tool predicting your future choices based on past interactions ,I expect AI systems to become safer over time. ,I am more concerned about future AI than the AI we have today., I double-check AI information with other sources.  ,I avoid certain questions or topics with AI because I’m unsure how it will respond. ,I reduce how much I use AI when it feels unpredictable or confusing. ,Is there anything else you want to share about how you feel regarding AI safety or risk? (Optional) , How much do you trust AI systems to act in your best interests?  ,How clear do you feel about what matters most in your life right now? ,"How much does modern digital life affect your ability to focus, decide, or think clearly? ",How do you feel about the growing role of AI in everyday decision-making? ,Which values do you believe AI systems should reflect? (select up 3),What is your age group?,Which of the following best describes your gender?,Country of residence,What is your highest level of education? ,Which of the following best describes your current work status? ,How would you describe your general emotional wellbeing?  
Yes,Very often,7–8 hours,"Information or research, Emotional support or conversation, Decision-making",5,4,3,4,3,4,6,2,3,7,2,5,5,7,2,4,3,2,5,4,6,6,5,4,7,4,3,5,"I feel like I am neutral on this, there are benefits to AI, as there are safety concerns since it is a new development.",4,5,6,3,"Honesty, Fairness, Respect",18 - 24,Woman,US,Some university/college,Student,3
Yes,Often,7–8 hours,"Information or research, Work tasks, Decision-making, Entertainment, Learning or studying",7,3,3,4,4,5,4,6,4,7,5,6,6,5,6,7,6,3,5,7,7,7,7,7,1,5,3,4,nope,5,4,3,7,"Fairness, Transparency, Accountability",35 - 44,Non-binary,US,Postgraduate degree,Employed full time,6
Yes,Occasionally,5–6 hours,"Information or research, Creative projects",3,4,5,5,2,4,5,6,1,1,2,6,6,7,2,6,2,4,6,6,4,5,1,6,2,6,6,5,nothing I can think off,6,6,5,6,"Honesty, Fairness, Respect",45 - 54,Woman,Australia,Some university/college,Employed part-time,6
Yes,Occasionally,7–8 hours,"Information or research, Entertainment",5,6,4,6,7,7,7,1,1,6,2,7,7,6,1,4,2,1,1,1,1,5,4,2,7,7,7,7,na,4,5,3,4,"Honesty, Responsibility, Non-harm",35 - 44,Man,US,Bachelor’s degree,Employed full time,5
Yes,Often,9–10 hours,"Information or research, Work tasks, Creative projects, Decision-making, Learning or studying",7,6,7,4,7,7,3,7,1,1,3,7,7,4,7,4,5,6,7,5,6,7,7,7,6,7,7,4,AI is a great tool but it is a tool.  Human nature will most likely want to make AI the first point / leader but this is not what AI is designed to be.,3,5,7,4,"Empathy, Human wellbeing, Non-harm",45 - 54,Woman,New Zealand,Bachelor’s degree,Employed full time,6
Yes,Everyday,7–8 hours,"Information or research, Emotional support or conversation, Learning or studying",5,6,7,7,6,4,5,3,2,5,3,4,5,3,3,6,5,4,6,7,6,7,2,4,7,7,2,5,Just what happens with your data and how they track you,4,5,5,4,"Responsibility, Human wellbeing, Non-harm",25 - 34,Man,UK,High school,Employed full time,4
Yes,Everyday,2–4 hours,"Information or research, Work tasks, Creative projects, Emotional support or conversation, Decision-making, Learning or studying",7,5,3,3,4,5,2,1,1,7,5,5,7,6,7,7,5,7,7,7,6,7,4,7,1,5,1,7,no,5,7,7,7,"Honesty, Respect, Transparency",35 - 44,Man,UK,Bachelor’s degree,Employed full time,7
Yes,Everyday,5–6 hours,"Information or research, Decision-making, Learning or studying",7,7,5,6,7,7,7,3,1,7,4,6,6,6,1,6,3,2,5,5,3,1,7,7,7,7,7,3,no,1,6,6,7,"Honesty, Fairness, Human wellbeing",35 - 44,Man,Australia,High school,Employed full time,3
Yes,Everyday,11–12 hours,Work tasks,5,4,4,4,4,4,4,7,7,7,7,5,5,4,4,7,4,4,4,5,7,4,4,4,4,5,5,4,NA,5,5,5,5,"Empathy, Respect, Human wellbeing",18 - 24,Man,Canada,Postgraduate degree,Student,2
Yes,Sometimes,5–6 hours,"Information or research, Work tasks",5,4,2,2,6,5,5,5,3,6,4,5,6,3,6,6,3,4,4,5,5,6,6,6,2,5,2,3,No,5,6,4,6,"Honesty, Transparency",35 - 44,Woman,UK,Some university/college,Employed full time,6
Yes,Often,7–8 hours,"Work tasks, Entertainment, Learning or studying",5,4,3,3,6,6,3,4,5,4,5,3,4,5,3,5,4,3,3,4,5,3,4,4,3,6,5,4,none,4,3,5,3,"Honesty, Transparency, Accountability",25 - 34,Man,Canada,Some university/college,Employed full time,5
Yes,Very often,More than 12 hours,"Information or research, Creative projects, Decision-making, Learning or studying",6,5,6,6,5,7,3,5,1,6,3,3,7,6,5,4,2,4,2,3,5,6,3,4,7,7,3,6,Nothing else at this time,4,7,6,3,"Honesty, Fairness, Transparency",35 - 44,Man,US,Bachelor’s degree,Employed full time,5
Yes,Often,9–10 hours,"Information or research, Work tasks, Creative projects, Decision-making",7,4,4,4,4,3,5,5,4,5,6,5,5,6,3,5,2,4,5,7,5,6,4,7,6,6,7,4,no,5,7,7,4,"Honesty, Empathy, Fairness",25 - 34,Woman,Canada,Postgraduate degree,Student,6
Yes,Everyday,5–6 hours,"Information or research, Work tasks, Emotional support or conversation, Entertainment, Learning or studying",6,4,3,5,7,7,5,6,5,7,5,6,7,7,4,7,4,5,5,6,6,6,5,6,7,6,7,7,I think the fact AI gets things wrong makes me trust it less,6,5,7,3,"Responsibility, Human wellbeing, Transparency",35 - 44,Man,UK,Bachelor’s degree,Employed full time,5
Yes,Everyday,9–10 hours,"Information or research, Work tasks",6,3,2,2,2,4,4,6,6,4,6,6,6,6,2,6,5,6,7,7,5,3,5,2,6,5,2,2,I feel that Google (Gemini) might use my conversations to target me with ads which makes me uncomfortable.,2,6,6,6,"Responsibility, Non-harm, Transparency",25 - 34,Man,Canada,Bachelor’s degree,Employed full time,6
Yes,Occasionally,7–8 hours,"Information or research, Entertainment",6,5,5,4,6,4,4,4,3,5,4,5,6,4,5,5,4,5,2,4,5,5,5,6,6,5,6,5,no,5,5,5,4,"Empathy, Responsibility, Non-harm",35 - 44,Woman,Australia,Postgraduate degree,Not currently working,5
Yes,Everyday,5–6 hours,"Information or research, Work tasks, Decision-making, Learning or studying",5,5,3,6,6,7,6,3,3,6,6,6,6,6,3,3,3,2,2,2,5,3,5,3,6,6,5,6,None,5,5,5,3,"Fairness, Transparency, Accountability",35 - 44,Woman,Canada,Bachelor’s degree,Employed full time,5
Yes,Occasionally,2–4 hours,"Information or research, Creative projects",5,3,3,4,5,4,6,4,2,5,3,4,6,6,5,4,5,3,3,4,6,5,2,6,4,4,2,4,no comments,4,5,4,4,"Empathy, Responsibility, Transparency",45 - 54,Man,UK,Some university/college,Not currently working,3
Yes,Often,7–8 hours,"Information or research, Work tasks, Creative projects, Decision-making, Learning or studying",6,6,6,6,4,4,5,3,3,7,7,5,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,6,It's the future,7,7,4,6,"Honesty, Fairness, Transparency",45 - 54,Man,UK,High school,Employed full time,5
Yes,Often,2–4 hours,"Information or research, Creative projects, Entertainment",6,4,3,3,2,5,4,4,3,6,2,7,6,7,3,5,1,2,3,4,4,6,5,6,3,5,1,4,No,5,5,5,4,"Honesty, Non-harm, Transparency",45 - 54,Man,UK,High school,Employed part-time,6
Yes,Sometimes,More than 12 hours,"Information or research, Decision-making, Entertainment",4,6,7,5,6,7,7,3,1,4,2,7,7,7,1,3,5,5,2,4,4,5,6,5,7,7,7,7,"no
",3,6,5,5,"Honesty, Responsibility, Non-harm",25 - 34,Man,Canada,Bachelor’s degree,Employed full time,5
Yes,Occasionally,2–4 hours,Work tasks,4,7,6,5,7,7,6,3,1,7,4,7,7,6,2,5,2,1,3,4,1,2,2,2,7,7,2,5,"I use it to help me start doing some work, like if I have writer's block over an email and go from there. In large part I refuse to use it for important tasks because I don't trust and don't want to have to spend any time going through its outputs checking everything.",2,4,5,1,"Honesty, Transparency, Accountability",45 - 54,Woman,New Zealand,Bachelor’s degree,Employed full time,5
Yes,Sometimes,2–4 hours,"Information or research, Creative projects",4,3,4,3,3,5,4,5,2,5,4,6,5,5,3,4,5,5,5,4,5,5,3,5,3,5,3,5,No,4,3,5,4,"Fairness, Human wellbeing, Non-harm",45 - 54,Man,UK,High school,Employed full time,3
Yes,Never,7–8 hours,Entertainment,4,7,7,7,7,7,6,1,1,1,1,7,7,5,1,2,1,1,1,1,1,3,2,1,6,7,7,4,I do not trust AI in most situations.,1,4,5,1,"Human wellbeing, Transparency, Accountability",18 - 24,Non-binary,Canada,Some university/college,Student,2
Yes,Often,2–4 hours,Information or research,7,4,4,4,5,5,4,6,3,7,6,5,5,4,4,4,3,4,4,5,4,4,4,5,4,5,1,3,No,4,6,1,4,"Honesty, Human wellbeing, Non-harm",55 - 65,Man,UK,Postgraduate degree,Other,6
Yes,Everyday,7–8 hours,"Information or research, Work tasks, Creative projects, Decision-making",6,7,7,5,4,7,7,1,1,1,1,3,5,4,3,1,4,4,7,5,4,2,1,1,7,6,7,5,Privacy,1,6,4,3,"Non-harm, Transparency, Accountability",35 - 44,Man,Canada,Bachelor’s degree,Employed full time,5
Yes,Often,5–6 hours,"Information or research, Learning or studying",4,7,7,7,7,7,7,2,1,1,4,6,6,7,1,1,1,1,3,1,2,5,1,4,5,7,7,7,n/a,2,2,5,1,"Non-harm, Transparency, Accountability",35 - 44,Woman,US,Some university/college,Employed full time,3
Yes,Everyday,7–8 hours,"Information or research, Work tasks, Entertainment, Learning or studying",5,7,4,6,6,7,4,1,1,1,4,7,7,4,1,4,1,1,4,5,6,5,4,7,5,5,5,7,N/A,3,7,7,7,"Honesty, Human wellbeing, Non-harm",55 - 65,Man,UK,Some university/college,Employed full time,7
Yes,Everyday,More than 12 hours,"Information or research, Work tasks, Creative projects, Emotional support or conversation, Decision-making, Entertainment, Learning or studying",4,1,1,4,1,5,1,2,7,7,7,5,7,1,7,7,1,5,7,7,7,4,6,4,1,7,1,1,no,5,1,5,5,"Empathy, Non-harm, Transparency",25 - 34,Man,Canada,High school,Not currently working,5
Yes,Sometimes,5–6 hours,"Information or research, Emotional support or conversation, Decision-making, Learning or studying",5,6,6,6,7,7,6,4,2,6,4,5,4,5,3,5,4,2,6,4,4,5,5,4,7,6,1,5,I'm worried about the impact of students using AI to do school work,4,4,5,3,"Honesty, Empathy, Non-harm",18 - 24,Woman,Canada,Some university/college,Employed part-time,3
Yes,Everyday,More than 12 hours,"Entertainment, Learning or studying",7,7,7,7,7,7,7,7,1,4,7,7,7,7,1,1,1,1,1,4,1,7,1,3,7,7,7,7,This says optional but it is a required question. I cannot progress the survey until I have answer this question.,1,2,4,1,"Honesty, Human wellbeing, Non-harm",18 - 24,Prefer not to say,Canada,Some university/college,Student,2
Yes,Sometimes,Less than 2 hours,"Information or research, Work tasks",4,4,3,2,6,5,7,4,3,3,5,5,6,6,5,2,6,6,6,5,1,2,3,4,5,3,6,6,I never share personal identification information of myself or others ,3,5,6,3,"Honesty, Responsibility, Non-harm",45 - 54,Woman,Australia,Bachelor’s degree,Employed full time,5
Yes,Occasionally,5–6 hours,"Information or research, Work tasks",4,6,2,4,6,7,4,6,7,3,5,7,5,4,5,6,4,4,6,6,5,6,6,7,7,1,1,1,n/a,5,6,5,7,"Human wellbeing, Non-harm, Transparency",25 - 34,Man,UK,Bachelor’s degree,Employed full time,5
Yes,Occasionally,5–6 hours,Work tasks,4,6,6,6,7,7,7,3,2,4,3,7,6,6,1,3,1,1,1,1,4,1,1,1,6,6,6,7,"the fact that it scrapes from the internet without permission makes me feel uneasy and unsafe about all the ways i ever have used the internet, not just when i am actively using AI. i also now question the reality of a lot of visual media i see online. it sucks.",1,5,6,1,"Responsibility, Transparency, Accountability",25 - 34,Non-binary,US,Bachelor’s degree,Self-employed / freelance,4
Yes,Sometimes,7–8 hours,"Work tasks, Decision-making",4,6,6,6,7,7,6,2,2,6,4,7,5,4,3,4,4,4,4,2,5,4,3,3,7,6,6,7,I'm more concerned with energy and water usage. ,1,5,7,1,"Responsibility, Human wellbeing, Transparency",45 - 54,Woman,US,High school,Self-employed / freelance,5
Yes,Sometimes,7–8 hours,"Information or research, Learning or studying",7,6,5,4,5,7,7,1,1,6,1,7,7,7,1,6,6,1,1,2,1,1,1,1,7,7,7,7,No,1,5,7,1,"Non-harm, Transparency, Accountability",18 - 24,Man,New Zealand,High school,Student,2
Yes,Often,2–4 hours,"Information or research, Work tasks, Emotional support or conversation, Learning or studying",4,3,2,1,5,6,2,5,3,6,2,6,7,6,5,5,5,5,6,4,5,6,6,6,4,6,3,5,AI companies should go public about potential  risks that Ai might pose in future.,5,7,3,5,"Non-harm, Transparency, Accountability",25 - 34,Woman,US,Some university/college,Employed full time,5
Yes,Often,7–8 hours,"Information or research, Creative projects, Emotional support or conversation, Decision-making, Learning or studying",5,4,4,5,6,7,7,4,4,7,6,6,4,3,4,5,5,6,6,5,6,7,7,6,5,7,5,4,"The worry for me is that you need a lot of critical thinking and prior knowledge and experience to catch inconsistencies and inaccuracy. I do cross reference most information I get from AI, especially if I am not knowledgeable in the topic. If AI is going to simplify our lives in should be factually accurate to reduce the amount of fact checking necessary. ",4,4,4,5,"Honesty, Empathy, Fairness",45 - 54,Woman,Australia,Bachelor’s degree,Not currently working,4
Yes,Very often,7–8 hours,"Information or research, Emotional support or conversation, Learning or studying",5,4,3,3,4,5,3,5,3,7,4,6,5,4,6,5,3,5,6,6,5,6,5,6,4,5,4,5,n/a,5,5,5,5,"Honesty, Fairness, Non-harm",25 - 34,Woman,Australia,Postgraduate degree,Student,4
Yes,Very often,2–4 hours,"Information or research, Decision-making",5,3,3,4,6,4,4,2,1,3,5,6,4,6,2,5,4,3,4,6,5,5,5,6,3,5,3,5,"If in doubt at all I would always check, sometimes use it to double check my own thoughts",5,5,5,6,"Honesty, Fairness, Transparency",Over 65,Woman,UK,High school,Not currently working,6
Yes,Sometimes,7–8 hours,"Information or research, Creative projects",7,6,7,5,4,7,6,3,2,7,5,4,4,3,4,6,5,3,4,5,4,6,4,4,7,6,2,4,No,5,6,5,4,"Honesty, Responsibility, Transparency",18 - 24,Man,New Zealand,Some university/college,Student,5
Yes,Very often,7–8 hours,"Information or research, Work tasks, Creative projects, Decision-making, Entertainment, Learning or studying",6,6,5,6,5,5,4,5,4,6,5,5,6,5,5,6,4,2,3,5,5,3,5,5,3,5,4,3,None come to mind,6,4,5,5,"Fairness, Responsibility, Transparency",25 - 34,Man,US,Bachelor’s degree,Employed full time,5
Yes,Often,7–8 hours,"Information or research, Creative projects, Learning or studying",6,5,6,5,5,6,5,4,5,5,5,6,5,6,4,4,4,4,4,3,4,5,4,6,4,6,6,4,I have high hopes the future of Ai will be much safer than it is now. ,5,5,5,5,"Fairness, Responsibility, Human wellbeing",25 - 34,Man,US,Bachelor’s degree,Employed full time,4
Yes,Sometimes,2–4 hours,"Work tasks, Decision-making",4,4,3,5,6,7,4,3,3,4,6,3,4,3,5,5,6,6,6,4,5,6,3,4,5,3,5,4,No,3,6,5,3,"Non-harm, Transparency, Accountability",25 - 34,Man,Canada,Some university/college,Employed full time,5
Yes,Sometimes,5–6 hours,Learning or studying,5,5,5,4,5,6,5,5,6,6,6,6,6,3,6,4,5,5,4,3,4,7,5,4,5,6,6,5,It should never have a 100% say in anything .. A human should Q.C it's task .. Deny or allow ,5,6,3,4,"Honesty, Empathy, Transparency",55 - 65,Man,UK,High school,Employed part-time,6
Yes,Rarely,9–10 hours,Information or research,1,5,5,5,7,7,7,1,1,1,1,7,7,7,1,2,1,1,1,1,1,1,1,6,4,4,1,3,no,1,6,2,1,"Non-harm, Transparency",55 - 65,Woman,UK,High school,Not currently working,3
Yes,Everyday,2–4 hours,"Information or research, Work tasks, Learning or studying",6,6,5,3,6,6,4,7,2,7,3,6,5,6,3,6,3,4,2,4,7,6,4,3,5,6,2,3,No,3,6,5,4,"Honesty, Human wellbeing, Non-harm",35 - 44,Woman,UK,Bachelor’s degree,Employed full time,5
Yes,Often,7–8 hours,"Information or research, Work tasks, Learning or studying",4,5,4,4,6,5,6,1,1,5,3,4,3,3,3,7,6,4,1,4,2,4,4,4,5,5,1,2,There is a risk with AI if you use it mindlessly or thinking it's sentient/all knowing. I use it knowing it can only advise and I am in control whether or not I use the resulting advise/content ,2,7,4,5,"Responsibility, Human wellbeing, Non-harm",45 - 54,Woman,UK,High school,Employed full time,7
Yes,Very often,9–10 hours,"Information or research, Work tasks, Creative projects, Decision-making, Learning or studying",6,4,3,4,6,5,7,7,3,6,2,4,5,6,4,6,1,4,7,6,6,7,4,3,6,4,2,3,The biggest risk is when they work without humans and become fully automated. ,4,6,6,5,"Honesty, Human wellbeing, Accountability",45 - 54,Man,Australia,Bachelor’s degree,Self-employed / freelance,6
Yes,Occasionally,5–6 hours,"Information or research, Creative projects, Emotional support or conversation, Decision-making",5,4,4,5,6,5,5,1,2,2,2,5,5,6,2,2,4,3,5,6,5,6,2,5,3,5,5,6,"I answered based on ChatGPT/Gemini/etc use, but I would have answered differently when it comes to localAI (e.g. Llama or Qwen etc). In those cases I am more open with the AI and more likely feel less risk that it has my data and chat history. However the flip side is that local models are usually behind the open ones, so perhaps I trust local responses less when it comes to trust in quality of info.",3,3,6,3,"Honesty, Empathy, Transparency",45 - 54,Man,New Zealand,Bachelor’s degree,Not currently working,3
Yes,Often,2–4 hours,"Information or research, Creative projects, Learning or studying",4,4,4,5,7,5,7,1,1,5,6,3,4,2,6,7,7,7,5,7,7,7,5,2,7,6,5,6,No,5,6,3,4,"Honesty, Fairness, Responsibility",35 - 44,Woman,US,Bachelor’s degree,Employed part-time,2
Yes,Everyday,11–12 hours,"Information or research, Creative projects, Decision-making, Learning or studying",6,2,2,2,2,4,3,3,3,5,3,5,5,6,2,4,5,2,4,4,5,5,4,7,4,2,2,2,n/a,5,5,6,5,"Honesty, Respect, Transparency",18 - 24,Man,UK,Bachelor’s degree,Employed full time,5
Yes,Everyday,More than 12 hours,"Information or research, Work tasks, Creative projects, Entertainment, Learning or studying",6,3,3,3,5,5,5,5,5,6,6,6,3,5,3,6,6,6,5,6,6,6,6,7,2,4,3,6,"I really like AI and it's been useful in my personal, work, and school lives. I am always concerned about false information and/or bias, but overall I trust AI. ",6,6,3,7,"Honesty, Non-harm, Transparency",Over 65,Woman,US,Bachelor’s degree,Employed part-time,5
Yes,Sometimes,5–6 hours,"Information or research, Decision-making",5,5,4,4,6,6,6,2,1,6,4,4,6,4,3,4,3,2,2,2,4,5,5,4,5,6,5,6,No,4,6,3,2,"Honesty, Responsibility, Transparency",35 - 44,Woman,New Zealand,Postgraduate degree,Employed full time,5
Yes,Sometimes,2–4 hours,"Information or research, Work tasks, Decision-making",6,4,6,3,4,5,5,5,2,6,3,5,6,6,4,4,5,5,3,4,4,5,5,5,6,7,3,3,"I am more and more concerned about data privacy, because I can never trust an AI system to keep conversations confidential (even if it's explicitly stated), they can just decide to share info with third party services without my consent. Also I am concerned about the environment because AI systems need a lot of resources that generate increasing amount of CO2.",3,4,5,4,"Fairness, Transparency, Accountability",35 - 44,Man,Australia,Bachelor’s degree,Employed part-time,6
Yes,Rarely,5–6 hours,Entertainment,4,7,7,7,7,7,7,1,1,4,1,6,6,4,1,1,1,1,1,1,1,1,2,2,6,7,6,4,I do not expect the level of regulation/security necessary to be taken by our current administration and the organizations hosting them,1,6,3,1,"Responsibility, Non-harm, Transparency",25 - 34,Man,US,Bachelor’s degree,Other,6
Yes,Everyday,2–4 hours,"Information or research, Work tasks, Learning or studying",6,6,5,2,6,6,4,5,2,5,5,6,6,6,2,6,5,5,6,6,6,6,6,6,6,4,3,6,no,5,6,3,5,"Fairness, Responsibility, Transparency",35 - 44,Man,US,Postgraduate degree,Employed full time,7
Yes,Very often,2–4 hours,Information or research,6,6,7,5,3,6,6,6,5,4,6,7,6,5,7,7,7,4,5,6,6,3,4,7,2,2,5,5,No,6,6,4,5,"Honesty, Transparency, Accountability",25 - 34,Woman,Canada,Bachelor’s degree,Employed full time,6
Yes,Everyday,5–6 hours,"Information or research, Work tasks, Creative projects, Decision-making, Learning or studying",4,6,4,3,6,6,6,3,2,6,2,5,6,6,2,4,6,5,5,5,5,6,5,3,6,5,5,5,No,3,5,5,3,"Fairness, Responsibility, Human wellbeing",25 - 34,Man,Ireland,Postgraduate degree,Employed full time,3
